languageTag,key,message,annotation
default,Advantages,Advantages,
ar,Advantages,مميزات,
ar,ANS.FAQs.Accounts.certificates.and.saving.pools.account.,ان الينا ايابهم ثم ان علينا حسابهم,
default,ANS.FAQs.Accounts.certificates.and.saving.pools.account.,"Yes, debit cards can be issued for local currency accounts only.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.alternative.paper.statements.account.cancelled.,"Yes, the customer can cancel the paper statements of account and choose either to receive e-statements via email or to review transactions using Al Ahly Net.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.borrow.gainst.a.certificateOdeposit.,"Yes, you can borrow against a certificate/deposit according to NBE's applicable regulations.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.certificate.redeemed.anytime.,You can redeem a certificate 6 months after its issuance date according to NBE's applicable regulations.,
default,ANS.FAQs.Accounts.certificates.and.saving.pools.foreigners.open.accounts.,"Yes, foreigners can open accounts.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.llowed.issue.a.cheque.book.current.account.,"Yes, you can apply for a cheque book for the current account as per the applicable regulations.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.max.amount.opening.account.,"There is no maximum amount to open an account, except for the pension saving account as its maximum is one million Egyptian pounds or the value of end of service gratuity, whichever is lesser.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.min.amount.opening.account.,"Minimum amount for account opening in local currency: EGP 500 (individual) and EGP 5,000 (corporate).",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.open.account.foreign.currencies.,"Yes, you can open accounts in different currencies such as US dollar, Sterling pound or euro, etc.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.open.joint.account.,"Yes, you can open a joint account.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.open.pension.sving.account.working.a.company.,"No, you can only open a pension account upon retirement; however, you can choose any other saving accounts.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.prize.drawings.accounts.,"Yes, you can open an EGP Small Saving Account or USD/GBP Prizes Saving Account and enter drawings for prizes by categories.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.purchse.a.certificate.only.week.,"No. However, you can book/choose one of the deposit products, as you can book a deposit for a term of a week until 7 years according to the applicable regulations.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.receive.paper.statements.e.statements.email.,"No, once you request an e-statement via email, you will not receive paper statements.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.student.under.age.21.years.open.account.,"Yes, Al Mostakbal Saving account can be opened starting from the age of 16 years.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.terms.available.local.currency.certificates.NBE.,"The terms are one year, 2 years, 3 years, 5 years and 10 years.",
default,ANS.FAQs.Accounts.certificates.and.saving.pools.terms.foreign.currency.certificates.NBE.,"The terms are 3 years, 5 years and 10 years.",
default,ANS.FAQs.Al.Ahly.e.Shopping.Benefits.obtained.merchant.subscribing.e.Shopping,"Installments: this service allows NBE credit card holders to pay for their purchases in installments over specific periods determined by the merchant in agreement with the Bank.

 Merchant gateway allows the merchant to check all the details of the transactions made via the e-payment gateway.

Receive daily statements of the transaction made on the merchant's account.

Successful settlement of the transactions executed via the e-payment gateway in 48 hours.",
default,ANS.FAQs.Al.Ahly.e.Shopping.infos.req.sub.app,Name- name of the commercial entity- phone number- merchant's business activity- governorate-if an account is held with the National Bank of Egypt,
default,ANS.FAQs.Al.Ahly.e.Shopping.latest.e.payment.services.offered.Bank.,"Now and for the first time in Egypt, NBE allows merchants to download the application related to (Tap on Phone) service on smart phones that have ""Near-field Communication (NFC)"" feature which allows them to accept payments via all cards (credit, debit, and prepaid cards) by swiping the card on the smart phone's screen for the application to carry out the transaction and send an SMS to the card holder indicating the debit transaction.
This service allows merchants to use the mobile application ""Tap on Phone"" in all the different types of e-payment instead of using the traditional POS, which provides the customers with sophisticated, easy and safe banking experience in performing several banking services.",
default,ANS.FAQs.Al.Ahly.e.Shopping.req.documents.subscribe.service.,"The required documents are valid national ID card, commercial register, tax card, lease/ownership contract of the company's premises.",
default,ANS.FAQs.Al.Ahly.e.Shopping.subscribe.e.payment.corporates.,"The customer signs the subscription application, shows his/her national ID and submits the required documents to the nearest branch, noting that the merchant should have an account with the Bank if s/he wishes to conclude a contract directly with our Bank.",
default,ANS.FAQs.Al.Ahly.Net.Al.Ahly.Mobile.for.Corporates.available.options.amending.certificates.deposits.,"To amend rollover instructions with respect to the certificate/deposit status or payout account, click on ""Accounts"", and select  ""Certificates/Deposits"", then click on ""Amend Certificates/Deposits""",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.account.details.obtained.,"Go to menu>Accounts> Current and Savings> Account Details, then select the account via Account Financial Summary, or select the account you wish to view from the �Account Financial Summary� from �Home� page.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.account.details.viewed.,Account type/currency>Branch>Account status>Account opening date>IBAN No.>Net available balance>Amount on hold>Amount under collection>Equivalent balance>Withdrawal limit>Utilized balance>Minimum balance required.,
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.actions.available.hard.token.,"You can activate, refresh or deactivate the hard token.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.bill.payment.mobile.top.up.services.enabled.,"Yes, you can use Fawry services via Al Ahly Net/NBE Mobile.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.customer.use.soft.token.,Not available. Corporate customers can only obtain a hard token from the nearest NBE branch.,
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.depositsOcertificates.currencies.,"Yes, log in and click on ""Accounts"" from the main menu, select "" Certificates/Deposits"" then click on ""Certificates/Deposits Details"".",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.details.certificateOdeposit.viewed.,"All the details of deposits and certificates can be viewed through clicking on ""Certificates/Deposits"" on the home page, then click on the certificate/deposit number to view its details.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.details.certificatesOdeposits.viewed.,"Certificate/deposit amount and period
Certificate/deposit account number 
Open date 
Maturity date 
Interest rate 
Total maturity amount 
Payout account number 
Available balance 
Blocked amount 
Blocking reason 
Rollover instructions and details 
Interest frequency",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.details.different.types.mutual.funds.viewed.,"Yes, log in and select ""Mutual Funds"" from the main menu, then click on ""Investment Details"" to view all the details.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.details.executed.standing.instructions.viewed.,"Yes, you can view the details and number of both executed and unexecuted standing instructions.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.details.loans.viewed.,"� Product name
� Loan account number
� Account currency
� Sanctioned loan amount
� Loan outstanding
� Interest rate
� Account opening and maturity dates
� Amounts paid to date
� Installments paid 
� Loan tenure
� Next installment amount
� Remaining installments",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.details.mutual.funds.viewed.,"� Outstanding certificate balance
� Current value of outstanding certificate balance
� Latest price of mutual fund certificates 
� Profit share received",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.details.settled.cheques.viewed.,"Yes, the cheque number, status and amount can be viewed.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.donations.made.,"Yes, you can donate to the different entities available on Al Ahly Net/NBE Mobile services.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.facial.recognition.fgerprint.used.gether.log.in.to.Mobile.,"Yes, in case your mobile phone supports using facial recognition & fingerprint simultaneously, they can both be used for login.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.financial.transactions.printed.,"Yes, the account activity can be printed and saved in PDF, CSV & MT940 formats for corporate customers.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.finncil.transactions.carried.a.maker.a.checker.,"Yes, financial transactions can be carried out by a maker and a checker. The corporate customer may also specify up to five levels of revision for each transaction. Confirmation steps of a financial transactions can be set up through a group of checkers in a single menu for confirmation by any one user or checker in each revision level according to the financial authority granted by the corporate customer to each user.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.get.password.use.Mobile.,"After subscribing to the service, the user name and corporate ID will be sent to the email registered in the application and a �Login Passcode� will be sent to the mobile phone registered at the bank to be used in creating your ""Login Password�.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.happens.if.hard.token.PIN.code.entered.incorrectly.,The hard taken will be suspended and may be activated again through the nearest branch.,
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.happens.if.incorrect.login.password.entered.,"In case of making 5 failed attempts to enter the login password, the user will be suspended and the �Forgot Password� service can be used to receive a new passcode on your mobile or visit the nearest branch to request a new passcode to be sent to your mobile phone.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.hard.token.obtained.NetONBE.Mobile.,You can receive a hard token from the nearest branch and activate it via Al Ahly Net/NBE Mobile.,
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.hard.token.used.NetONBE.Mobile.,"Yes, you can use the service via Al Ahly Net/NBE Mobile.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.loan.account.statement.printed.,"Yes, you can print and save a loan account statement in PDF format.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.loggg.in.facial.recognitionOfingerprint.,"Yes, it is available to corporate customers if supported by the mobile phone used.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.login.enable.facial.recognitionOfingerprint.,"You can log in using facial recognition/fingerprint by logging in using the biometric authentication on the login page, or going to menu>Account Settings>Personal Preferences>Biometric Authentication>Enable Biometric Authentication Login, then enter the password and OTP sent to the mobile phone to enable facial recognition/fingerprint",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.Login.Password.changed.,"Yes, you can change the ""Login Password� by clicking on �Change Password>Enter Old Password> New Password>Confirm New Password�.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.Mobile.app.supported.Android.IOS.mobile.operating.systems.,"Yes, the application is supported by Android 9 and later versions and IOS 11 and later versions.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.Mobile.used.crrying.financial.transactions.a.customer.,"Yes, it can be used.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.Multiple.Transfers.service.,"""Multiple Transfers"" enable you to execute more than one (internal/domestic) transfer faster in one step only. Select the payee and enter all the transfer details, then click on ""Save"" and add the other transfers, then click on ""Submit"".",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.mximum.number.users.a.single.customer.,There is no maximum limit for the number of corporate users including makers and checkers.,
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.not.mutual.fund.account.account.created.,"You can create an investment account for the first time by selecting ""Mutual Funds"", clicking on ""Place Orders"" then ""Purchase Mutual Funds"" to be directed to the page of opening investment accounts in order to select the accounts to be linked to the investment account.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.one.time.password.OTP.created.through.hard.taken.,"Open the hard token by pressing ""OK"", enter the hard token PIN code then press ""1"" to create an OTP to carry out transactions through the service.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.open.certificate.deposit.through.service.,"Yes, you can open a certificate or deposit through Al Ahly Net/NBE Mobile. Click on ""Accounts"" from the main menu, and select ""Certificates/Deposits"", then click on ""Open Certificates/Deposits"".",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.openOamend.redeem.certificates.deposits,All requests are processed in real time online.,
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.PIN.code.created.hard.token.NetONBE.Mobile.,"Press ""OK"" then enter 4 digits. Re-enter the digits to confirm the PIN code, the word ""HELLO"" will be displayed.",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.primary.account.assigned.opening.investment.account.,The primary account is the account which receives the coupons of mutual fund certificates. It can be changed later if you wish.,
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.primary.account.selected.carrying.financial.transaction.,"Yes, you can select a favorite account to be the primary account for carrying out financial transactions by going to the main menu > Account Settings > Personal Preferences > Primary Account Number",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.redeem.certificate.deposit.through.service.,"Yes, certificates/deposits can be redeemed through Al Ahly Net/NBE Mobile. Click on ""Accounts"", and select ""Certificates/Deposits"", then click on ""Redeem Certificates/Deposits"".",
default,ANS.FAQs.Al.Ahly.Net.NBE.Mobile.Corporate.send.money.e.wallet.another.bank.,"Yes, you can send money to e-wallets inside/outside the National Bank of Egypt.",
