query,topIntent,conversationName,description,answer,enabled,intentAnnotations,exampleDataAnnotations
How to qualify to Platinum Plus?,ANS.FAQs.alAhlyPlatinum.services.qualifi.plu,FAQ: How to qualify to Platinum Plus?,,"Simply maintain with NBE a balance equal to or above EGP 5,000,000 (or equivalent in any foreign currency).",TRUE,,
How to qualify for the Platinum Plus tier?,ANS.FAQs.alAhlyPlatinum.services.qualifi.plu,FAQ: How to qualify to Platinum Plus?,,"Simply maintain with NBE a balance equal to or above EGP 5,000,000 (or equivalent in any foreign currency).",TRUE,,
Is a text message sent when using the discount card?,ANS.FAQs.debit.cards.sm.notif.sent.when.card.us,FAQ: Is an SMS notification sent when the debit card is used?,,An SMS notification is sent when the card is used in cash withdrawal or purchases inside Egypt or abroad.,TRUE,,
Is an SMS notification sent when the debit card is used?,ANS.FAQs.debit.cards.sm.notif.sent.when.card.us,FAQ: Is an SMS notification sent when the debit card is used?,,An SMS notification is sent when the card is used in cash withdrawal or purchases inside Egypt or abroad.,TRUE,,
Retail - What are the details of mutual funds that can be viewed?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.detail.mutual.fund.view,FAQ: Retail - What are the details of mutual funds that can be viewed?,,"•	Outstanding certificate balance 
•	Current value of outstanding certificate balance
•	Latest price of mutual fund certificates
•	Profit share received",TRUE,,
Retail - What are the details of the investment funds that I can get?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.detail.mutual.fund.view,FAQ: Retail - What are the details of mutual funds that can be viewed?,,"•	Outstanding certificate balance 
•	Current value of outstanding certificate balance
•	Latest price of mutual fund certificates
•	Profit share received",TRUE,,
Corp - What is the daily maximum withdrawal from the card?,ANS.FAQs.corp.debit.cards.card.max.daili.withdraw.limit,FAQ: Corp - What is the card maximum daily withdrawal limit?,,"The maximum daily cash withdrawal limit is EGP 30,000.",TRUE,,
Corp - What is the card maximum daily withdrawal limit?,ANS.FAQs.corp.debit.cards.card.max.daili.withdraw.limit,FAQ: Corp - What is the card maximum daily withdrawal limit?,,"The maximum daily cash withdrawal limit is EGP 30,000.",TRUE,,
Retail - How can I subscribe to the electronic card statement service?,ANS.FAQs.credit.cards.ret.subscrib.card.e.statement,FAQ: Retail - How can I subscribe to the credit card e-statement service?,,"Go to the ""Self-Services"" page on NBE's official website or subscribe through this link:                                                                                                       https://www.nbe.com.eg/NBE/E/#/AR/ProductDetails?inParams=%7B%22CategoryID%22%3A%22selfservices%22%2C%22ProductID%22%3A%22%D8%A7%D9%84%D8%A7%D8%B4%D8%AA%D8%B1%D8%A7%D9%83%20%D9%81%D9%8A%20%D8%AE%D8%AF%D9%85%D8%A9%20%D8%A7%D9%84%D9%83%D8%B4%D9%81%20%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%20%D9%84%D9%84%D8%AD%D8%B3%D8%A7%D8%A8%D8%A7%D8%AA%20%D9%88%20%D8%A7%D9%84%D8%A8%D8%B7%D8%A7%D9%82%D8%A7%D8%AA_18712%22%7D",TRUE,,
Retail - How can I subscribe to the credit card e-statement service?,ANS.FAQs.credit.cards.ret.subscrib.card.e.statement,FAQ: Retail - How can I subscribe to the credit card e-statement service?,,"Go to the ""Self-Services"" page on NBE's official website or subscribe through this link:                                                                                                       https://www.nbe.com.eg/NBE/E/#/AR/ProductDetails?inParams=%7B%22CategoryID%22%3A%22selfservices%22%2C%22ProductID%22%3A%22%D8%A7%D9%84%D8%A7%D8%B4%D8%AA%D8%B1%D8%A7%D9%83%20%D9%81%D9%8A%20%D8%AE%D8%AF%D9%85%D8%A9%20%D8%A7%D9%84%D9%83%D8%B4%D9%81%20%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%20%D9%84%D9%84%D8%AD%D8%B3%D8%A7%D8%A8%D8%A7%D8%AA%20%D9%88%20%D8%A7%D9%84%D8%A8%D8%B7%D8%A7%D9%82%D8%A7%D8%AA_18712%22%7D",TRUE,,
